iter	Passed	Remaining
151	27835	155294
152	28026	155155
153	28212	154984
154	28382	154732
155	28571	154576
156	28752	154386
157	28928	154164
158	29117	154009
159	29301	153830
160	29471	153578
161	29637	153311
162	29821	153134
163	29987	152864
164	30192	152790
165	30362	152542
166	30545	152359
167	30711	152096
168	30885	151869
169	31061	151655
170	31249	151497
171	31429	151298
172	31612	151118
173	31800	150959
174	31988	150800
175	32181	150668
176	32364	150485
177	32547	150304
178	32740	150166
179	32922	149978
180	33089	149725
181	33275	149556
182	33449	149335
183	33628	149133
184	33801	148907
185	33967	148652
186	34154	148490
187	34321	148240
188	34505	148063
189	34678	147841
190	34881	147742
191	35071	147590
192	35238	147342
193	35417	147148
194	35594	146941
195	35776	146755
196	35958	146572
197	36136	146370
198	36317	146180
199	36514	146056
200	36692	145855
201	36876	145681
202	37047	145451
203	37233	145285
204	37426	145142
205	37586	144872
206	37768	144686
207	37946	144488
208	38134	144326
209	38320	144156
210	38495	143946
211	38672	143745
212	38843	143520
213	39042	143398
214	39233	143248
215	39417	143069
216	39586	142840
217	39770	142664
218	39962	142514
219	40137	142305
220	40313	142099
221	40495	141916
222	40674	141721
223	40872	141594
224	41044	141374
225	41228	141197
226	41408	141006
227	41574	140771
228	41765	140616
229	41934	140388
230	42109	140182
231	42299	140024
232	42476	139826
233	42637	139574
234	42844	139474
235	43013	139247
236	43210	139113
237	43379	138886
238	43572	138739
239	43756	138563
240	43936	138372
241	44124	138207
242	44297	137995
243	44473	137795
244	44655	137612
245	44830	137408
246	45019	137246
247	45206	137077
248	45386	136887
249	45565	136696
250	45727	136452
251	45903	136254
252	46087	136077
253	46267	135889
254	46447	135700
255	46642	135553
256	46833	135398
257	47022	135233
258	47201	135044
259	47392	134884
260	47569	134689
261	47749	134499
262	47933	134323
263	48120	134154
264	48305	133979
265	48494	133814
266	48673	133624
267	48860	133455
268	49040	133265
269	49222	133084
270	49436	132985
271	49634	132846
272	49812	132651
273	50022	132540
274	50192	132326
275	50371	132133
276	50567	131987
277	50745	131793
278	50925	131604
279	51113	131434
280	51307	131281
281	51481	131075
282	51668	130905
283	51840	130696
284	52017	130499
285	52191	130297
286	52377	130123
287	52571	129969
288	52749	129775
289	52928	129584
290	53106	129389
291	53298	129229
292	53479	129045
293	53659	128856
294	53837	128661
295	54026	128495
296	54214	128325
297	54382	128110
298	54584	127971
299	54778	127816
300	54959	127630
301	55165	127502
302	55341	127304
303	55530	127136
304	55717	126963
305	55895	126769
306	56074	126578
307	56259	126402
308	56430	126191
309	56610	126003
310	56786	125807
311	56977	125643
312	57149	125437
313	57346	125286
314	57521	125086
315	57693	124880
316	57874	124694
317	58065	124529
318	58241	124334
319	58416	124135
320	58608	123973
321	58811	123831
322	59001	123665
323	59178	123471
324	59368	123303
325	59552	123123
326	59728	122927
327	59904	122730
328	60079	122533
329	60257	122340
330	60435	122148
331	60616	121963
332	60792	121768
333	60975	121586
334	61160	121408
335	61338	121216
336	61541	121074
337	61704	120854
338	61872	120642
339	62049	120449
340	62233	120268
341	62406	120069
342	62589	119887
343	62769	119700
344	62972	119556
345	63164	119392
346	63364	119242
347	63540	119047
348	63713	118845
349	63883	118641
350	64088	118500
351	64271	118317
352	64461	118149
353	64660	117996
354	64836	117801
355	65013	117608
356	65194	117422
357	65381	117248
358	65579	117092
359	65745	116881
360	65942	116724
361	66116	116524
362	66302	116349
363	66485	116167
364	66661	115972
365	66842	115786
366	67017	115591
367	67204	115416
368	67396	115249
369	67579	115067
370	67765	114890
371	67971	114747
372	68146	114551
373	68334	114377
374	68520	114201
375	68698	114010
376	68878	113823
377	69067	113650
378	69231	113436
379	69402	113235
380	69578	113041
381	69753	112847
382	69943	112677
383	70123	112489
384	70302	112301
385	70486	112121
386	70662	111927
387	70836	111731
388	71018	111547
389	71182	111337
390	71358	111144
391	71553	110980
392	71741	110807
393	71920	110618
394	72090	110417
395	72277	110240
396	72442	110031
397	72626	109851
398	72805	109664
399	72985	109478
400	73163	109288
401	73344	109104
402	73513	108902
403	73699	108725
404	73888	108552
405	74063	108359
406	74248	108180
407	74423	107987
408	74597	107793
409	74798	107636
410	74997	107477
411	75180	107295
412	75379	107136
413	75571	106967
414	75758	106792
415	75930	106594
416	76117	106418
417	76300	106237
418	76501	106079
419	76673	105883
420	76853	105696
421	77024	105497
422	77185	105285
423	77347	105075
424	77540	104907
425	77712	104711
426	77900	104536
427	78103	104381
428	78275	104184
429	78470	104018
430	78646	103828
431	78823	103637
432	79005	103454
433	79183	103266
434	79356	103072
435	79535	102884
436	79732	102721
437	79921	102548
438	80121	102387
439	80310	102213
440	80501	102041
441	80680	101855
442	80853	101659
443	81056	101503
444	81235	101315
445	81428	101146
446	81609	100962
447	81802	100792
448	81986	100611
449	82169	100429
450	82364	100261
451	82545	100077
452	82735	99904
453	82910	99711
454	83078	99511
455	83263	99331
456	83459	99165
457	83643	98984
458	83815	98788
459	83984	98590
460	84149	98387
461	84345	98220
462	84539	98050
463	84719	97866
464	84887	97666
465	85062	97475
466	85249	97297
467	85432	97115
468	85612	96929
469	85800	96753
470	85980	96567
471	86174	96398
472	86350	96208
473	86531	96024
474	86718	95846
475	86907	95671
476	87112	95513
477	87309	95346
478	87491	95163
479	87672	94978
480	87865	94807
481	88057	94634
482	88225	94435
483	88412	94257
484	88609	94090
485	88783	93898
486	88950	93699
487	89117	93500
488	89294	93311
489	89476	93128
490	89656	92943
491	89821	92742
492	89998	92554
493	90188	92379
494	90361	92186
495	90559	92020
496	90742	91837
497	90916	91646
498	91097	91462
499	91285	91285
500	91463	91098
501	91643	90913
502	91835	90740
503	92013	90552
504	92193	90368
505	92375	90185
506	92556	90000
507	92731	89811
508	92921	89635
509	93112	89461
510	93303	89286
511	93483	89101
512	93654	88907
513	93824	88713
514	94005	88529
515	94192	88350
516	94363	88157
517	94517	87948
518	94703	87769
519	94884	87585
520	95057	87394
521	95236	87208
522	95443	87048
523	95620	86861
524	95794	86671
525	95990	86500
526	96171	86317
527	96355	86136
528	96533	85949
529	96730	85779
530	96922	85605
531	97092	85412
532	97265	85221
533	97441	85033
534	97622	84849
535	97804	84666
536	97984	84481
537	98158	84292
538	98340	84109
539	98511	83917
540	98680	83723
541	98854	83533
542	99046	83359
543	99212	83163
544	99389	82976
545	99564	82788
546	99740	82600
547	99911	82408
548	100086	82220
549	100263	82033
550	100436	81843
551	100616	81659
552	100794	81474
553	100961	81279
554	101139	81093
555	101324	80913
556	101510	80734
557	101688	80549
558	101853	80353
559	102047	80180
560	102240	80005
561	102414	79817
562	102594	79633
563	102770	79446
564	102956	79267
565	103139	79086
566	103323	78904
567	103488	78709
568	103667	78525
569	103845	78339
570	104028	78157
571	104212	77977
572	104389	77790
573	104571	77609
574	104745	77420
575	104941	77248
576	105123	77066
577	105298	76878
578	105471	76689
579	105648	76503
580	105829	76320
581	106014	76140
582	106187	75952
583	106379	75777
584	106559	75593
585	106735	75406
586	106914	75222
587	107102	75044
588	107295	74869
589	107477	74687
590	107654	74502
591	107834	74318
592	108034	74148
593	108204	73957
594	108386	73775
595	108560	73588
596	108737	73402
597	108914	73216
598	109102	73038
599	109277	72851
600	109463	72671
601	109633	72481
602	109813	72298
603	110001	72120
604	110169	71928
605	110346	71743
606	110524	71558
607	110717	71383
608	110901	71202
609	111082	71020
610	111265	70838
611	111443	70653
612	111629	70473
613	111809	70290
614	111991	70108
615	112182	69931
616	112365	69750
617	112548	69569
618	112726	69384
619	112902	69198
620	113084	69016
621	113281	68843
622	113455	68656
623	113638	68474
624	113830	68298
625	113984	68099
626	114161	67914
627	114337	67728
628	114518	67545
629	114694	67360
630	114889	67185
631	115077	67006
632	115259	66825
633	115449	66647
634	115638	66469
635	115804	66277
636	115982	66093
637	116162	65910
638	116354	65734
639	116534	65550
640	116721	65371
641	116918	65197
642	117094	65012
643	117270	64826
644	117457	64646
645	117642	64466
646	117830	64287
647	118005	64101
648	118194	63923
649	118363	63734
650	118544	63551
651	118722	63367
652	118892	63178
653	119059	62988
654	119235	62803
655	119433	62629
656	119616	62448
657	119794	62264
658	120002	62095
659	120183	61912
660	120366	61731
661	120547	61548
662	120730	61366
663	120921	61189
664	121091	61001
665	121279	60821
666	121463	60640
667	121646	60459
668	121827	60276
669	122002	60090
670	122182	59907
671	122372	59729
672	122542	59541
673	122751	59372
674	122914	59180
675	123094	58998
676	123278	58816
677	123459	58633
678	123641	58452
679	123820	58268
680	124009	58089
681	124189	57906
682	124376	57726
683	124554	57542
684	124721	57353
685	124903	57171
686	125099	56995
687	125282	56813
688	125457	56628
689	125639	56446
690	125835	56270
691	126003	56082
692	126182	55898
693	126365	55717
694	126532	55528
695	126703	55341
696	126884	55159
697	127074	54980
698	127269	54804
699	127454	54623
700	127643	54444
701	127831	54264
702	127998	54075
703	128179	53893
704	128353	53708
705	128526	53522
706	128707	53339
707	128894	53159
708	129058	52970
709	129248	52791
710	129424	52607
711	129593	52419
712	129788	52242
713	129976	52063
714	130156	51880
715	130343	51700
716	130518	51515
717	130698	51332
718	130884	51152
719	131059	50967
720	131246	50787
721	131430	50606
722	131592	50416
723	131783	50237
724	131973	50058
725	132150	49875
726	132342	49696
727	132519	49512
728	132715	49335
729	132900	49154
730	133071	48969
731	133243	48783
732	133404	48593
733	133581	48409
734	133761	48227
735	133931	48040
736	134107	47856
737	134301	47678
738	134476	47494
739	134640	47305
740	134822	47124
741	135008	46943
742	135186	46760
743	135370	46579
744	135531	46390
745	135721	46210
746	135918	46034
747	136089	45848
748	136272	45666
749	136447	45482
750	136614	45295
751	136798	45114
752	136977	44931
753	137166	44752
754	137340	44567
755	137509	44381
756	137686	44198
757	137879	44019
758	138066	43839
759	138252	43658
760	138426	43474
761	138612	43293
762	138796	43112
763	138982	42931
764	139143	42743
765	139335	42564
766	139507	42379
767	139679	42194
768	139862	42013
769	140038	41829
770	140215	41646
771	140406	41467
772	140586	41284
773	140750	41097
774	140917	40911
775	141082	40724
776	141258	40541
777	141436	40358
778	141628	40179
779	141805	39996
780	142002	39818
781	142188	39638
782	142355	39452
783	142535	39270
784	142717	39088
785	142912	38909
786	143104	38730
787	143287	38549
788	143484	38371
789	143674	38191
790	143865	38012
791	144044	37829
792	144218	37645
793	144396	37463
794	144565	37277
795	144745	37095
796	144939	36916
797	145109	36731
798	145284	36548
799	145463	36365
800	145627	36179
801	145834	36004
802	146006	35819
803	146196	35640
804	146387	35460
805	146566	35277
806	146744	35095
807	146916	34910
808	147078	34724
809	147263	34543
810	147442	34360
811	147615	34177
812	147787	33992
813	147961	33809
814	148132	33625
815	148326	33446
816	148512	33265
817	148703	33085
818	148893	32905
819	149087	32726
820	149266	32544
821	149447	32362
822	149633	32181
823	149810	31998
824	149994	31816
825	150171	31634
826	150350	31451
827	150531	31269
828	150715	31088
829	150899	30907
830	151076	30724
831	151249	30540
832	151420	30356
833	151603	30175
834	151784	29993
835	151985	29815
836	152158	29631
837	152348	29451
838	152542	29272
839	152721	29089
840	152896	28906
841	153074	28724
842	153252	28541
843	153424	28358
844	153600	28175
845	153783	27993
846	153962	27811
847	154142	27629
848	154322	27447
849	154522	27268
850	154698	27085
851	154877	26903
852	155069	26723
853	155252	26541
854	155431	26359
855	155629	26180
856	155806	25998
857	155999	25818
858	156171	25634
859	156346	25451
860	156524	25269
861	156717	25089
862	156919	24910
863	157110	24730
864	157297	24549
865	157502	24371
866	157682	24188
867	157874	24008
868	158053	23826
869	158240	23645
870	158418	23462
871	158597	23280
872	158775	23097
873	158953	22915
874	159133	22733
875	159313	22551
876	159489	22368
877	159667	22186
878	159845	22003
879	160018	21820
880	160195	21638
881	160372	21455
882	160567	21275
883	160753	21094
884	160958	20915
885	161123	20731
886	161301	20549
887	161485	20367
888	161667	20185
889	161845	20003
890	162035	19822
891	162216	19640
892	162394	19458
893	162590	19278
894	162776	19096
895	162947	18913
896	163140	18732
897	163325	18551
898	163502	18369
899	163681	18186
900	163853	18003
901	164036	17822
902	164209	17639
903	164379	17456
904	164568	17275
905	164770	17095
906	164949	16913
907	165153	16733
908	165340	16552
909	165536	16371
910	165734	16191
911	165917	16009
912	166101	15827
913	166301	15647
914	166489	15466
915	166681	15285
916	166875	15104
917	167054	14922
918	167251	14741
919	167435	14559
920	167633	14378
921	167817	14197
922	168007	14015
923	168182	13833
924	168373	13651
925	168548	13469
926	168723	13286
927	168916	13105
928	169107	12924
929	169282	12741
930	169472	12560
931	169656	12378
932	169852	12197
933	170048	12016
934	170244	11835
935	170447	11654
936	170631	11472
937	170820	11290
938	171006	11109
939	171208	10928
940	171404	10746
941	171597	10565
942	171783	10383
943	171959	10200
944	172144	10018
945	172330	9837
946	172503	9654
947	172681	9471
948	172871	9290
949	173079	9109
950	173247	8926
951	173440	8744
952	173638	8563
953	173823	8381
954	174014	8199
955	174205	8017
956	174387	7835
957	174581	7653
958	174770	7471
959	174968	7290
960	175157	7108
961	175339	6926
962	175522	6743
963	175712	6561
964	175896	6379
965	176088	6197
966	176276	6015
967	176452	5833
968	176637	5650
969	176817	5468
970	177001	5286
971	177195	5104
972	177370	4921
973	177561	4739
974	177757	4557
975	177938	4375
976	178120	4193
977	178299	4010
978	178480	3828
979	178667	3646
980	178846	3463
981	179041	3281
982	179223	3099
983	179415	2917
984	179596	2734
985	179777	2552
986	179967	2370
987	180165	2188
988	180343	2005
989	180533	1823
990	180715	1641
991	180887	1458
992	181090	1276
993	181275	1094
994	181462	911
995	181646	729
996	181835	547
997	182033	364
998	182224	182
999	182408	0
